name,id,team_abb,team_id,batting_average,on_base_percentage,slugging,appearances,plate_appearances,at_bats,hits,walks,singles,doubles,triples,quadruples,home_runs,runs_batted_in,strikeouts,sacrifice_bunts,sacrifice_flies,at_bats_risp,hits_risp,batting_average_risp,on_base_slugging,total_bases,hit_by_pitches,ground_outs,flyouts,gidp,stolen_bases,caught_stealing,runs
Lance Serotonin,d86f836e-4edf-4dbd-9743-14f30461ee14,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.262,0.286,0.65,99,357,340,89,13,40,8,12,0,29,66,83,4,0,54,15,0.278,0.936,221,0,114,36,0,12,0,47
Fish Summer,d89da2d2-674c-4b85-8959-a4bd406f760a,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.312,0.357,0.721,99,333,308,96,23,50,13,9,0,24,62,44,2,0,62,21,0.339,1.078,222,0,80,78,3,3,1,55
Comfort Septemberish,d8ee256f-e3d0-46cb-8c77-b1f88d8c9df9,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.304,0.348,0.709,99,468,437,133,30,72,12,12,0,37,77,76,1,0,72,23,0.319,1.057,310,0,164,49,1,34,2,87
Lang Richardson,da0bbbe6-d13c-40cc-9594-8c476975d93d,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.245,0.295,0.511,99,526,485,119,36,70,16,22,0,11,72,102,5,0,122,32,0.262,0.806,248,0,189,40,5,17,3,66
Yusef Fenestrate,da67c196-4cac-428b-8c18-2a411055ea35,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.216,0.265,0.501,99,389,365,79,24,41,15,4,0,19,34,91,0,0,35,5,0.143,0.766,183,0,134,47,3,11,6,37
Yusef Puddles,dd6044ef-c635-4aed-97bd-d18068432b8f,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.266,0.288,0.458,99,513,493,131,17,83,30,6,0,12,62,133,3,0,111,37,0.333,0.746,226,0,129,85,1,11,3,63
Beans McBlase,dddb6485-0527-4523-9bec-324a5b66bf37,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.211,0.247,0.416,99,368,341,72,19,38,25,1,0,8,45,45,8,0,68,13,0.191,0.663,142,0,179,21,4,2,0,39
Castillo Turner,defbc540-a36d-460b-afd8-07da2375ee63,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.231,0.255,0.6,99,341,325,75,12,26,15,9,0,25,70,74,4,0,61,22,0.361,0.855,195,0,124,38,2,9,1,56
Wyatt Glover,e16c3f28-eecd-4571-be1a-606bbac36b2b,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.208,0.245,0.4,99,381,360,75,18,49,9,9,0,8,28,68,2,0,60,13,0.217,0.645,144,0,144,58,0,0,0,32
Stijn Strongbody,e2f39815-5291-4dcf-ba19-97dcf0c015e9,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.157,0.247,0.429,99,365,324,51,39,30,4,6,0,11,31,99,2,0,53,7,0.132,0.676,139,0,110,48,3,2,0,36
Ronan Combs,e4f1f358-ee1f-4466-863e-f329766279d0,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.186,0.272,0.466,99,334,296,55,36,33,5,9,0,8,30,83,2,0,64,12,0.188,0.738,138,0,110,33,5,1,3,27
Gallup Crueller,e7ecf646-e5e4-49ef-a0e3-10a78e87f5f4,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.129,0.136,0.22,99,389,381,49,4,33,6,5,0,5,22,166,4,0,65,10,0.154,0.356,84,0,102,58,0,3,1,24
Nandy Fantastic,ec68845f-3b26-412f-8446-4fef34e09c77,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.175,0.217,0.413,99,369,349,61,19,28,15,5,0,13,35,64,1,0,62,13,0.21,0.63,144,0,120,78,10,9,3,34
Yeong-Ho Benitez,ecb8d2f5-4ff5-4890-9693-5654e00055f6,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.5,0.5,0.5,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,,1.0,1,0,0,0,0,0,0,0
Theo King,ee55248b-318a-4bfb-8894-1cc70e4e0720,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.071,0.15,0.207,99,354,323,23,30,17,2,0,0,4,18,234,1,0,76,6,0.079,0.357,67,0,41,18,0,0,1,16
Fitzgerald Massey,ef32eb48-4866-49d0-ae58-9c4982e01142,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0
Collins Melon,ef9f8b95-9e73-49cd-be54-60f84858a285,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.209,0.268,0.498,99,440,402,84,34,42,15,14,0,13,41,121,4,0,72,17,0.236,0.766,200,0,134,34,5,27,0,58
Aldon Cashmoney,efafe75e-2f00-4418-914c-9b6675d39264,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.323,0.389,0.917,99,501,446,144,51,47,21,35,0,41,105,55,4,0,76,31,0.408,1.306,409,0,144,68,2,61,0,111
Hahn Fox,f0bcf4bb-74b3-412e-a54c-04c12ad28ecb,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.28,0.314,0.667,99,548,517,145,27,64,22,26,0,33,76,99,4,0,89,24,0.27,0.981,345,0,199,52,5,18,5,102
Usurper Violet,f245f6c6-4613-40f5-bc3b-85aa9ee3cf7e,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.274,0.304,0.492,99,495,449,123,27,76,35,0,0,12,79,87,18,0,112,36,0.321,0.796,221,0,176,40,3,9,2,51
Alaynabella Hollywood,f2468055-e880-40bf-8ac6-a0763d846eb2,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.174,0.202,0.331,99,326,311,54,12,30,16,3,0,5,25,96,3,0,62,9,0.145,0.533,103,0,92,56,0,1,0,27
Andrew Solis,f38c5d80-093f-46eb-99d6-942aa45cd921,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.268,0.295,0.528,99,376,358,96,15,52,24,6,0,14,49,40,3,0,65,24,0.369,0.823,189,0,103,102,1,14,1,41
Theodore Duende,f3ddfd87-73a2-4681-96fe-829476c97886,SEA,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,0.258,0.305,0.559,99,370,345,89,24,56,8,3,0,22,49,62,1,0,55,12,0.218,0.864,193,0,93,81,3,5,1,57
Atlas Jonbois,f44a8b27-85c1-44de-b129-1b0f60bcb99c,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0
Fran Beans,f4ca437c-c31c-4508-afe7-6dae4330d717,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.209,0.235,0.41,99,362,349,73,12,46,11,1,0,15,31,92,1,0,59,12,0.203,0.645,143,0,103,67,0,2,3,31
Malik Romayne,f56657d3-3bdc-4840-a20c-91aca9cc360e,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.178,0.233,0.38,99,450,416,74,31,46,10,11,0,7,38,127,3,0,84,16,0.19,0.613,158,0,136,67,0,15,3,38
Thomas Kirby,f73009c5-2ede-4dc4-b96d-84ba93c8a429,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Blood Hamburger,f7847de2-df43-4236-8dbe-ae403f5f3ab3,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.147,0.217,0.369,99,341,312,46,28,26,6,7,0,7,26,92,1,0,58,9,0.155,0.586,115,0,95,63,2,5,0,29
Matteo Prestige,f9c0d3cb-d8be-4f53-94c9-fc53bcbce520,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0
Howell Franklin,fa477c92-39b6-4a52-b065-40af2f29840a,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.25,0.296,0.597,99,365,340,85,23,35,25,5,0,20,45,59,2,0,59,15,0.254,0.893,203,0,74,110,3,1,0,46
Jode Preston,fcbe1d14-04c4-4331-97ad-46e170610633,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.309,0.358,0.719,99,495,459,142,35,70,25,13,0,34,92,52,1,0,109,39,0.358,1.077,330,0,186,56,0,6,1,88
