name,id,team_abb,team_id,batting_average,on_base_percentage,slugging,appearances,plate_appearances,at_bats,hits,walks,singles,doubles,triples,quadruples,home_runs,runs_batted_in,strikeouts,sacrifice_bunts,sacrifice_flies,at_bats_risp,hits_risp,batting_average_risp,on_base_slugging,total_bases,hit_by_pitches,ground_outs,flyouts,gidp,stolen_bases,caught_stealing,runs
Francisca Sasquatch,8903a74f-f322-41d2-bd75-dbf7563c4abb,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.294,0.324,0.669,99,312,296,87,14,41,14,13,0,19,50,40,2,0,49,17,0.347,0.993,198,0,76,79,2,18,3,43
Concrete Mandible,89c8f6bf-94a2-4e56-8412-bdb0182509a9,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.038,0.12,0.153,99,342,313,12,29,7,4,0,0,1,5,264,0,0,45,1,0.022,0.273,48,0,25,8,1,1,0,13
Nagomi Nava,89f74891-2e25-4b5a-bd99-c95ba3f36aa0,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.221,0.302,0.628,99,461,403,89,50,43,8,8,0,30,85,75,8,0,91,21,0.231,0.93,253,0,146,69,6,9,1,69
Oliver Mueller,8b53ce82-4b1a-48f0-999d-1774b3719202,SEA,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,0.238,0.326,0.534,99,383,328,78,47,54,6,10,0,8,40,75,8,0,60,19,0.317,0.86,175,0,124,42,1,0,2,49
Jenna Maldonado,8ba7e1ff-4c6d-4963-8e0f-7096d14f4b12,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Ziwa Mueller,8c8cc584-199b-4b76-b2cd-eaa9a74965e5,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.22,0.258,0.507,90,360,341,75,18,33,18,10,0,14,40,73,1,0,38,12,0.316,0.765,173,0,138,37,4,8,3,42
Gloria Bugsnax,8cd06abf-be10-4a35-a3ab-1a408a329147,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.243,0.297,0.704,99,310,284,69,23,23,10,10,0,26,57,46,3,0,52,16,0.308,1.001,200,0,114,48,0,3,0,52
Avila Guzman,8cf78b49-d0ca-4703-88e8-4bcad26c44b1,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.213,0.275,0.596,99,346,314,67,28,26,13,5,0,23,50,54,4,0,58,12,0.207,0.871,187,0,130,54,3,17,2,43
Case Sports,8d337b47-2a7d-418d-a44e-ef81e401c2ef,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.216,0.27,0.364,79,248,231,50,17,37,11,0,0,2,11,75,0,0,32,10,0.313,0.634,84,0,80,14,2,2,1,23
Velasquez Meadows,8e1fd784-99d5-41c1-a6c5-6b947cec6714,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,1.0,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2.0,1,0,0,0,0,0,0,0
Fitzgerald Blackburn,8ecea7e0-b1fb-4b74-8c8c-3271cb54f659,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.26,0.305,0.667,99,456,427,111,28,46,21,7,0,37,86,82,1,0,89,22,0.247,0.972,285,0,96,124,4,5,3,63
Eugenia Garbage,90768354-957e-4b4c-bb6d-eab6bbda0ba3,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.273,0.323,0.561,99,415,385,105,29,68,13,3,0,21,46,46,1,0,44,15,0.341,0.884,216,0,142,83,1,3,4,52
Kline Greenlemon,97f5a9cd-72f0-413e-9e68-a6ee6a663489,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.232,0.263,0.51,99,316,302,70,13,37,8,12,0,13,41,77,1,0,58,17,0.293,0.773,154,0,97,39,4,12,2,38
Bates Bentley,9965eed5-086c-4977-9470-fe410f92d353,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.197,0.223,0.406,50,238,229,45,8,28,4,3,0,10,19,53,1,0,32,6,0.188,0.629,93,0,99,25,0,8,1,41
Bates Bentley,9965eed5-086c-4977-9470-fe410f92d353,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.193,0.197,0.415,50,173,171,33,1,16,7,0,0,10,14,47,1,0,23,3,0.13,0.612,71,0,65,24,0,8,1,41
Christian Combs,9ac2e7c5-5a34-4738-98d8-9f917bc6d119,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.267,0.292,0.515,99,391,375,100,14,56,26,1,0,17,43,69,1,0,62,20,0.323,0.807,193,0,158,29,3,9,2,49
Jesús Koch,9be56060-3b01-47aa-a090-d072ef109fbf,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.234,0.282,0.559,99,380,354,83,24,35,19,15,0,14,55,105,2,0,73,26,0.356,0.841,198,0,86,72,4,2,3,39
Kathy Mathews,9c3273a0-2711-4958-b716-bfcf60857013,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.273,0.326,0.607,99,377,341,93,30,53,10,16,0,14,51,80,6,0,61,18,0.295,0.933,207,0,123,31,1,16,3,50
Lotus Mango,9f218ed1-d793-437d-a1b9-79f88f69154d,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.204,0.267,0.469,99,326,294,60,27,34,9,9,0,8,30,66,5,0,46,9,0.196,0.736,138,0,127,32,0,1,0,32
Lachlan Shelton,9f85676a-7411-444a-8ae2-c7f8f73c285c,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.164,0.19,0.38,99,342,324,53,12,21,13,12,0,7,35,84,6,0,61,17,0.279,0.57,123,0,107,61,4,1,0,41
Patel Beyonce,a1ed3396-114a-40bc-9ff0-54d7e1ad1718,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.253,0.284,0.53,99,307,285,72,15,44,10,0,0,18,47,57,6,0,63,11,0.175,0.814,151,0,85,62,3,4,2,38
Chorby Short,a3947fbc-50ec-45a4-bca4-49ffebb77dbe,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.12,0.146,0.235,99,404,391,47,12,31,5,5,0,6,22,224,1,0,59,6,0.102,0.381,92,0,85,17,4,10,2,25
Richardson Turquoise,a5adc84c-80b8-49e4-9962-8b4ade99a922,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0,0,2,0,0,0,0,0
Commissioner Vapor,a7d8196a-ca6b-4dab-a9d7-c27f3e86cc21,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.267,0.324,0.621,99,383,348,93,31,50,17,3,0,23,64,44,4,0,58,24,0.414,0.945,216,0,137,60,3,23,2,57
Helga Washington,a8a5cf36-d1a9-47d1-8d22-4a665933a7cc,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.271,0.298,0.524,99,336,317,86,14,52,18,0,0,16,41,52,5,0,45,15,0.333,0.822,166,0,120,54,1,3,0,39
Eizabeth Elliott,aa6c2662-75f8-4506-aa06-9a0993313216,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.248,0.269,0.482,99,372,359,89,11,52,17,4,0,16,40,37,2,0,54,15,0.278,0.751,173,0,187,29,3,36,2,51
Goobie Ballson,ab36c776-b520-429b-a85f-bf633d7b081a,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.241,0.264,0.491,98,360,344,83,12,45,17,6,0,15,40,67,4,0,55,15,0.273,0.755,169,0,88,102,0,2,3,46
Matheo Carpenter,ab9eb213-0917-4374-a259-458295045021,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Bevan Wise,ac69dba3-6225-4afd-ab4b-23fc78f730fb,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.264,0.28,0.508,99,421,398,105,13,66,8,17,0,14,69,71,10,0,86,31,0.36,0.788,202,0,170,37,1,3,1,52
Baby Triumphant,ad8d15f4-e041-4a12-a10e-901e6285fdc5,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.249,0.299,0.644,99,394,365,91,27,40,8,20,0,23,53,64,2,0,58,17,0.293,0.943,235,0,120,60,1,2,2,52
Freemium Seraph,adcbc290-81c5-4da9-b4da-2e594b080710,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.228,0.248,0.407,99,318,307,70,9,46,11,4,0,9,37,96,2,0,48,12,0.25,0.655,125,0,86,40,5,5,2,21
August Sky,ae81e172-801a-4236-929a-b990fc7190ce,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.233,0.26,0.523,99,365,348,81,14,38,17,8,0,18,39,76,3,0,46,10,0.217,0.783,182,0,157,28,0,1,0,46
Richardson Games,b1b141fc-e867-40d1-842a-cea30a97ca4f,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.167,0.238,0.401,99,425,389,65,36,35,12,11,0,7,26,152,0,0,54,12,0.222,0.639,156,0,94,71,1,45,1,40
Dickerson Morse,b39b5aae-8571-4c90-887a-6a00f2a2f6fd,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.262,0.27,0.545,99,311,301,79,5,39,12,16,0,12,48,72,5,0,62,14,0.226,0.815,164,0,78,62,0,7,2,46
Hendricks Rangel,b3d518b9-dc68-4902-b68c-0022ceb25aa0,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,1,0,0,0,0
Sebastian Townsend,b4505c48-fc75-4f9e-8419-42b28dcc5273,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0
Elwin McGhee,b60605e6-ff41-4388-a61a-fafd2175f7ad,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.195,0.229,0.343,97,371,353,69,16,43,20,2,0,4,21,89,2,0,47,11,0.234,0.572,121,0,111,61,6,9,1,32
Esme Ramsey,b8ab86c6-9054-4832-9b96-508dbd4eb624,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.215,0.271,0.517,99,292,265,57,22,30,9,5,0,13,43,62,4,0,59,15,0.254,0.788,137,0,80,58,0,3,3,30
Farrell Seagull,bbf9543f-f100-445a-a467-81d7aab12236,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.224,0.309,0.492,99,551,486,109,61,78,6,12,0,13,59,110,4,0,76,23,0.303,0.801,239,0,192,45,6,3,2,86
Famous Oconnor,bca38809-81de-42ff-94e3-1c0ebfb1e797,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,1,0,0,0,0
Helga Burton,bd24e18b-800d-4f15-878d-e334fb4803c4,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.176,0.244,0.422,99,394,353,62,34,38,5,9,0,10,41,132,7,0,75,13,0.173,0.666,149,0,115,33,2,1,1,36
Cell Barajas,bd8778e5-02e8-4d1f-9c31-7b63942cc570,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.187,0.235,0.416,99,327,305,57,20,35,8,0,0,14,33,59,2,0,59,9,0.153,0.651,127,0,93,81,1,3,2,26
José Haley,bd8d58b6-f37f-48e6-9919-8e14ec91f92a,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Scores Baserunner,be18d363-752d-4e4a-b06b-1a7e4641400b,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.277,0.324,0.609,99,278,256,71,19,41,6,12,0,12,34,38,3,0,44,14,0.318,0.933,156,0,115,24,0,12,5,39
